"Gene" "count" "gene_type"
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 0 FALSE
"Rv0001 " 10 FALSE
"Rv0003 " 79 FALSE
"Rv0003 " 45 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 2 FALSE
"Rv0003 " 44 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 88 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 6 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 75 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 2 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 5 FALSE
"Rv0003 " 3 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 0 FALSE
"Rv0003 " 3 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 0 FALSE
"Rv0004 " 19 FALSE
"Rv0004 " 64 FALSE
"Rv0005 " 1 FALSE
"Rv0005 " 106 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0005 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
"Rv0006 " 0 FALSE
